Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Virement,Épargne,2024-08-27 11:46:48,2024-08-27 11:46:48,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-08-27 12:06:35,2024-08-27 12:06:35,Sur la Pocket EUR Impôts depuis EUR,320.00,0.00,EUR,TERMINÉ,780.00
Virement,Épargne,2024-08-27 13:53:10,2024-08-27 13:53:10,Retrait depuis une Pocket,-220.00,0.00,EUR,TERMINÉ,560.00
Virement,Épargne,2024-08-28 09:07:17,2024-08-28 09:51:05,To Faniriantsoa RAKOTOARINIVO,-100.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-08-31 20:18:36,2024-08-31 20:18:36,Retrait depuis une Pocket,-60.00,0.00,EUR,TERMINÉ,400.00
Virement,Épargne,2024-09-02 14:42:43,2024-09-02 14:42:43,Sur la Pocket EUR Loyer depuis EUR,60.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-09-03 09:07:14,2024-09-03 09:52:08,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Changes,Épargne,2024-09-25 08:04:24,2024-09-25 08:04:24,Change en EUR,320.00,0.00,EUR,TERMINÉ,320.00
Virement,Épargne,2024-09-25 09:00:22,2024-09-25 09:00:22,Retrait depuis une Pocket,-320.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2024-10-02 03:27:35,2024-10-02 03:27:35,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-10-02 07:26:57,2024-10-02 07:26:58,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2024-10-28 23:07:15,2024-10-28 23:07:15,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-10-28 23:08:01,2024-10-28 23:08:01,Sur la Pocket EUR Dettes depuis EUR,302.00,0.00,EUR,TERMINÉ,762.00
Changes,Épargne,2024-10-28 23:21:58,2024-10-28 23:21:58,Change en GBP,-460.00,0.00,EUR,TERMINÉ,302.00
Virement,Épargne,2024-10-30 08:44:05,2024-10-30 09:20:09,To Faniriantsoa RAKOTOARINIVO,-302.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2024-11-27 21:53:52,2024-11-27 21:53:52,Sur la Pocket EUR Dettes depuis EUR,302.00,0.00,EUR,TERMINÉ,302.00
Virement,Épargne,2024-11-28 08:46:40,2024-11-28 09:21:54,To Faniriantsoa RAKOTOARINIVO,-302.00,0.00,EUR,TERMINÉ,0.00
Changes,Épargne,2024-11-29 21:15:53,2024-11-29 21:15:53,Change en EUR,460.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2024-12-03 08:43:50,2024-12-03 09:37:34,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2024-12-27 09:12:51,2024-12-27 09:12:51,Sur la Pocket EUR Dettes depuis EUR,302.00,0.00,EUR,TERMINÉ,302.00
Virement,Épargne,2024-12-27 09:14:54,2024-12-27 09:14:54,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,762.00
Virement,Épargne,2024-12-27 09:16:08,2024-12-27 09:16:08,Sur la Pocket EUR Impôts depuis EUR,280.00,0.00,EUR,TERMINÉ,1042.00
Virement,Épargne,2024-12-27 09:18:09,2024-12-27 09:18:10,To Faniriantsoa RAKOTOARINIVO,-280.00,0.00,EUR,TERMINÉ,762.00
Virement,Épargne,2024-12-28 08:20:26,2024-12-30 03:01:08,To Faniriantsoa RAKOTOARINIVO,-302.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2025-01-03 08:27:07,2025-01-03 08:52:06,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2025-01-30 09:26:23,2025-01-30 09:26:23,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2025-02-03 08:25:38,2025-02-03 08:54:32,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2025-02-26 07:53:42,2025-02-26 07:53:42,Sur la Pocket EUR Dettes depuis EUR,302.00,0.00,EUR,TERMINÉ,302.00
Virement,Épargne,2025-02-26 07:54:17,2025-02-26 07:54:17,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,762.00
Virement,Épargne,2025-02-28 08:57:45,2025-02-28 09:23:25,To Faniriantsoa RAKOTOARINIVO,-302.00,0.00,EUR,TERMINÉ,460.00
Virement,Épargne,2025-03-03 08:27:00,2025-03-03 08:53:28,To Proprio Coloc David GINKO,-460.00,0.00,EUR,TERMINÉ,0.00
Virement,Épargne,2025-03-26 22:26:21,2025-03-26 22:26:21,Sur la Pocket EUR Dettes depuis EUR,302.00,0.00,EUR,TERMINÉ,302.00
Virement,Épargne,2025-03-26 22:26:33,2025-03-26 22:26:33,Sur la Pocket EUR Loyer depuis EUR,460.00,0.00,EUR,TERMINÉ,762.00
Virement,Épargne,2025-03-30 09:18:00,2025-03-31 04:06:38,To Faniriantsoa RAKOTOARINIVO,-302.00,0.00,EUR,TERMINÉ,460.00
